Name,Difficulty_x,Edge_Count,CNN_Score,Time_Minutes,Image_File,Creator,Image,Description,Difficulty_y,Time,Paper Shape,Sheets,Image_GitHub,time_minutes,Difficulty_Numeric,Predicted_Complexity,PCA1,PCA2,Keyword_Score
Martian,3,1863,0.0216505521886489,20,DSC03780-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03780-export-900x900.jpg,"Abstract humanoid figure with large, wide head.",intermediate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03780-export-900x900.jpg,20,3,2.8850532,-0.059002135,-0.02376233,0.7652831
Phoenix,3,3259,0.0375024593577665,38,DSC03782-export-900x868.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03782-export-900x868.jpg,"Mythical bird with long neck, large feather on its head and fanned tail.",intermediate,38 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03782-export-900x868.jpg,38,3,3.2240915,-0.014310929,-0.32725558,0.69826984
Ogre,3,2021,0.0257114904067095,29,DSC03784-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03784-export-900x900.jpg,"Humanoid figure with large head, chest and arms.",intermediate,29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03784-export-900x900.jpg,29,3,3.0870953,-0.1430176,-0.031816687,0.51225257
Winged Wolf,3,2822,0.058584020278033,27,DSC03778-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03778-export-900x900.jpg,Standing wolf with large wings.,intermediate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03778-export-900x900.jpg,27,3,3.1672301,0.0058890795,-0.26045606,0.72558403
Cube,2,1369,0.0277369241153492,19,DSC03773-export.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03773-export.jpg,Cube with one fully open edge.,moderate,19 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03773-export.jpg,19,2,1.4725223,0.30883542,0.2879356,0.26865876
Lady Godiva,4,3534,0.058528891170726,120,DSC03718-export-900x900.jpg,Tsuruta Yoshimasa,https://origami-database.com/wp-content/uploads/DSC03718-export-900x900.jpg,Three-dimentional reverse-colored woman atop a horse.,hard,2 hours,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03718-export-900x900.jpg,120,4,3.9422235,0.033629164,-0.099167705,0.6680523
Fivefold Rose,3,4773,0.05568504782284,60,DSC03708-export-scaled.jpg,John Szinger,https://origami-database.com/wp-content/uploads/DSC03708-export-scaled.jpg,Five-sided flower.,intermediate,1 hour,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03708-export-scaled.jpg,60,3,2.955849,0.34564552,0.09614969,0.23482245
Grim Reaper,5,2123,0.0590709910673253,454,DSC03699-export-900x900.jpg,Chuya Miyamoto,https://origami-database.com/wp-content/uploads/DSC03699-export-900x900.jpg,"Humanoid skeleton in tattered robes carrying a large scythe, with reverse-colored skull face, hands and feet.",complex,7 hours 34 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03699-export-900x900.jpg,454,5,4.9641743,0.0042813574,0.12352476,0.45488897
Spinosaurus,4,1534,0.0395299933938418,93,DSC03698-export-3000x3000.jpg,Hisao Fukui,https://origami-database.com/wp-content/uploads/DSC03698-export-3000x3000.jpg,Standing dinosaur with small reverse-colored sail on its back and dewclaws on its legs.,hard,1 hour 33 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03698-export-3000x3000.jpg,93,4,3.6696677,-0.2624034,0.34508625,0.5739288
Samurai Helmet Beetle,4,2816,0.0629845114315257,145,DSC03703-export-900x900.jpg,Jun Maekawa,https://origami-database.com/wp-content/uploads/DSC03703-export-900x900.jpg,Distinctively shaped beetle with reverse-colored wings posed as if in flight.,hard,2 hours 25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03703-export-900x900.jpg,145,4,3.1635733,-0.0060596205,-0.07433149,0.60724664
Slowpoke,2,2202,0.0299006383559283,50,DSC03691-export-900x900.jpg,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC03691-export-900x900.jpg,"Three-dimentional Pokémon with reverse-colored eyes, toes and mouth, featuring two large incisors.",moderate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03691-export-900x900.jpg,50,2,2.2025027,-0.14105344,0.0074370163,0.48022348
Giant Panda,3,2780,0.0725861493278952,45,DSC03688-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03688-export-900x900.jpg,Standing panda bear with distinctive color changes.,intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03688-export-900x900.jpg,45,3,2.7936647,0.0014434484,-0.21813199,0.584297
Winged Unicorn,3,2820,0.0610041360294117,53,DSC03687-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03687-export-900x900.jpg,"Winged unicorn with a large, reverse-colored horn.",intermediate,53 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03687-export-900x900.jpg,53,3,3.05973,-0.02894929,-0.24885544,0.62149346
Biplane,4,2367,0.0557745899873621,120,DSC03680-export-900x900.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03680-export-900x900.jpg,Three-dimentional airplane with stacked wings and two wheels.,hard,2 hours,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03680-export-900x900.jpg,120,4,3.9919302,0.214904,0.19327068,0.43973905
Dragon with Wizard,4,2562,0.0371595135857077,203,DSC03660-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03660-export-900x900.jpg,"Quadruped dragon breathing reverse-colored flames, with a humanoid figure on its back.",hard,3 hours 23 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03660-export-900x900.jpg,203,4,3.6938581,-0.08997291,-0.02941503,0.93732923
Dragon with Warrior,4,1983,0.0424319098977481,196,DSC03670-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03670-export-900x900.jpg,"Flying dragon with horned head, carrying a humanoid figure.",hard,3 hours 16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03670-export-900x900.jpg,196,4,3.8891597,-0.15487304,-0.15386426,1.0343882
Sea serpent,2,2455,0.0361453606100643,21,DSC03669-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03669-export-900x900.jpg,Sea serpent with dragon-like head and long tail.,moderate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03669-export-900x900.jpg,21,2,2.3809717,-0.2046115,-0.033247184,0.82427526
