Image,Name,Description,Difficulty,Time,Keyword_Score,Difficulty_Numeric,Predicted_Complexity
,Phoenix,"Mythical bird with long neck, large feather on its head and fanned tail.",intermediate,38 minutes,-1,3,2.952738530352346
,Ogre,"Humanoid figure with large head, chest and arms.",intermediate,29 minutes,2,3,3.082375613317343
,Winged Wolf,Standing wolf with large wings.,intermediate,27 minutes,0,3,3.335088848119148
,Cube,Cube with one fully open edge.,moderate,19 minutes,0,2,1.7023999749234862
,Lady Godiva,Three-dimentional reverse-colored woman atop a horse.,hard,2 hours,0,4,3.783283032135728
,Fivefold Rose,Five-sided flower.,intermediate,1 hour,0,3,2.927163245469658
,Grim Reaper,"Humanoid skeleton in tattered robes carrying a large scythe, with reverse-colored skull face, hands and feet.",complex,7 hours 34 minutes,2,5,4.942005998671308
,Spinosaurus,Standing dinosaur with small reverse-colored sail on its back and dewclaws on its legs.,hard,1 hour 33 minutes,0,4,3.265608979717292
,Samurai Helmet Beetle,Distinctively shaped beetle with reverse-colored wings posed as if in flight.,hard,2 hours 25 minutes,0,4,3.9655684182424755
,Slowpoke,"Three-dimentional Pokémon with reverse-colored eyes, toes and mouth, featuring two large incisors.",moderate,50 minutes,0,2,2.4308062492252818
,Giant Panda,Standing panda bear with distinctive color changes.,intermediate,45 minutes,0,3,3.001918312965384
,Winged Unicorn,"Winged unicorn with a large, reverse-colored horn.",intermediate,53 minutes,2,3,3.426442291458749
,Biplane,Three-dimentional airplane with stacked wings and two wheels.,hard,2 hours,0,4,3.771832250915099
,Dragon with Wizard,"Quadruped dragon breathing reverse-colored flames, with a humanoid figure on its back.",hard,3 hours 23 minutes,6,4,3.593723880581554
,Dragon with Warrior,"Flying dragon with horned head, carrying a humanoid figure.",hard,3 hours 16 minutes,6,4,4.0312920232280405
,Sea serpent,Sea serpent with dragon-like head and long tail.,moderate,21 minutes,0,2,2.527666941394251
,Crayfish,Lobster-like creature with two large claws and four legs.,moderate,35 minutes,0,2,2.317047118349657
,Dragon Hatchling,"Egg with reverse-colored head, tail and wings of a baby dragon peeking out.",intermediate,35 minutes,2,3,3.17948968515619
,Snake,"Abstract snake coiled around itself, neck and head raised, with a reverse-colored open mouth.",easy,7 minutes,0,1,0.7915233772128716
,Rocket,Abstract and boxy rocket with four fins.,moderate,12 minutes,0,2,1.8598200042058597
,Witch,Robed woman with pointy hat on a flying broom.,hard,1 hour 53 minutes,0,4,4.009246226395747
,King Tut,Mask of the Egyptian pharaoh Tutankhamun.,intermediate,32 minutes,0,3,2.7441531414832667
,Cuckoo Clock,Three-dimentional cuckoo clock with long pendulum and bird popping out.,hard,2 hours 34 minutes,-1,4,3.8411204264043457
,Hummingbird,Flying bird with long beak and reverse-colored body.,intermediate,41 minutes,-1,3,2.846312960421586
,One-Headed Dragon,Standing dragon with long neck.,moderate,23 minutes,2,2,2.244975155493551
,Nun,Standing robed figure with reverse-colored wimple.,moderate,14 minutes,0,2,1.8536126028405082
,Pigeon,Three-dimentional bird with distinctive plumage and body shape.,intermediate,1 hour 5 minutes,-1,3,2.5648742430948306
,Vulture,Abstract bird with distinctive silhouette.,moderate,13 minutes,-1,2,1.980714447371191
,White-faced Mouse,Abstract mouse with reverse-colored face.,easy,3 minutes,0,1,0.9181072856786594
,Swan,Sitting or swimming bird with long neck and separate wings and plumage.,moderate,8 minutes,-1,2,1.7833108824644648
,Fish,Abstract fish with pelvic and tail fin.,easy,5 minutes,0,1,0.9521212221286213
,2 Fold Santa,Abstract Santa Claus model.,easy,1 minute,0,1,1.1557797633972728
,One Fold Stegosaurus,"Flat, abstract dinosaur.",easy,1 minute,0,1,1.446686764094496
,Pigeon,Abstract flying bird with reverse-colored beak and underside.,easy,2 minutes,-1,1,1.690746317891317
,Candy Box,Open tapered box with reverse-colored underside.,easy,5 minutes,0,1,1.11852226389395
,Fancy Box,Box with pointed sides and reverse-colored triangle decorations on the edge.,easy,6 minutes,0,1,1.0202330356018514
,Pig,Abstract standing pig.,easy,4 minutes,0,1,1.189855936377446
,Star,Five-pointed star with visible flaps.,easy,4 minutes,0,1,0.8903675898643146
,Pelican,Abstract swimming or sitting bird.,easy,3 minutes,0,1,1.1256641905934681
,House,Abstract symbol of two adjoined houses.,easy,2 minutes,0,1,1.2828512811837962
,Jumping frog,"Three-dimentional frog with four fingers and five toes, open mouth and eyes that jumps when tapped.",moderate,50 minutes,0,2,2.004810922063741
,Jumping frog,Abstract frog that jumps when tapped.,easy,4 minutes,0,1,0.9592323409629184
,Jumping frog,Abstract frog that jumps when tapped.,easy,4 minutes,0,1,0.9592323409629184
,Oblong Box,Long rectangular box with two attached open lids.,easy,4 minutes,0,1,0.8379973604097661
,Tall Cap,High cone-shaped hat.,easy,2 minutes,0,1,1.128153362830068
,Boat,Simple open boat.,moderate,3 minutes,-1,2,1.9226096396273342
,Piano,Abstract three-dimentional piano.,easy,3 minutes,0,1,1.0694721203450743
,Jumping frog,Abstract frog that jumps when tapped.,easy,3 minutes,0,1,0.9592323409629184
,Three-Headed Dragon,Bipedal three-headed creature with small wings and horned heads featuring open mouths.,intermediate,2 hours 22 minutes,2,3,2.82406220351951
